code,selectionId,description,category,subcategory,price,weight,dimensions,units,active,tags,notes,imageUrl
SPIGOT-BAL-15MM-BLK,balustrade_frameless_spigot_15mm_black,"15mm Balustrade Spigot - Black",Frameless Balustrade,15mm Balustrade Spigots,71,,,"ea",true,"spigot,balustrade,15mm,black","15mm balustrade spigot, black finish",
SPIGOT-BAL-15MM-WHT,balustrade_frameless_spigot_15mm_white,"15mm Balustrade Spigot - White",Frameless Balustrade,15mm Balustrade Spigots,71,,,"ea",true,"spigot,balustrade,15mm,white","15mm balustrade spigot, white finish",
RAIL-NONO-25X21-SS-POL,balustrade_frameless_rail_25x21_ss_polished,"25x21mm NonoRail - Stainless Steel Polished (12mm glass only)",Frameless Balustrade,Top Mounted Rail 25x21,165,,,"lm",true,"rail,nonorail,stainless,polished","25x21mm NonoRail for 12mm glass, stainless steel polished",
RAIL-NONO-25X21-SS-SAT,balustrade_frameless_rail_25x21_ss_satin,"25x21mm NonoRail - Stainless Steel Satin (12mm glass only)",Frameless Balustrade,Top Mounted Rail 25x21,158,,,"lm",true,"rail,nonorail,stainless,satin","25x21mm NonoRail for 12mm glass, stainless steel satin",
RAIL-NONO-25X21-AL-BLK,balustrade_frameless_rail_25x21_al_black,"25x21mm NonoRail - Anodised Aluminium Black (12mm glass only)",Frameless Balustrade,Top Mounted Rail 25x21,135,,,"lm",true,"rail,nonorail,aluminium,black","25x21mm NonoRail for 12mm glass, anodised aluminium black",
RAIL-NONO-25X21-AL-WHT,balustrade_frameless_rail_25x21_al_white,"25x21mm NonoRail - Anodised Aluminium White (12mm glass only)",Frameless Balustrade,Top Mounted Rail 25x21,135,,,"lm",true,"rail,nonorail,aluminium,white","25x21mm NonoRail for 12mm glass, anodised aluminium white",
RAIL-NANO-30X21-SS-POL,balustrade_frameless_rail_30x21_ss_polished,"30x21mm NanoRail - Stainless Steel Polished",Frameless Balustrade,Top Mounted Rail 30x21,172,,,"lm",true,"rail,nanorail,stainless,polished","30x21mm NanoRail universal, stainless steel polished",
RAIL-NANO-30X21-SS-SAT,balustrade_frameless_rail_30x21_ss_satin,"30x21mm NanoRail - Stainless Steel Satin",Frameless Balustrade,Top Mounted Rail 30x21,165,,,"lm",true,"rail,nanorail,stainless,satin","30x21mm NanoRail universal, stainless steel satin",
RAIL-NANO-30X21-AL-BLK,balustrade_frameless_rail_30x21_al_black,"30x21mm NanoRail - Anodised Aluminium Black",Frameless Balustrade,Top Mounted Rail 30x21,142,,,"lm",true,"rail,nanorail,aluminium,black","30x21mm NanoRail universal, anodised aluminium black",
RAIL-NANO-30X21-AL-WHT,balustrade_frameless_rail_30x21_al_white,"30x21mm NanoRail - Anodised Aluminium White",Frameless Balustrade,Top Mounted Rail 30x21,142,,,"lm",true,"rail,nanorail,aluminium,white","30x21mm NanoRail universal, anodised aluminium white",
RAIL-S35-35X35-SS-POL,balustrade_frameless_rail_35_series_ss_polished,"35x35mm Series 35 Rail - Stainless Steel Polished",Frameless Balustrade,Top Mounted Rail 35 Series,185,,,"lm",true,"rail,series35,stainless,polished","35x35mm Series 35 universal, stainless steel polished",
RAIL-S35-35X35-SS-SAT,balustrade_frameless_rail_35_series_ss_satin,"35x35mm Series 35 Rail - Stainless Steel Satin",Frameless Balustrade,Top Mounted Rail 35 Series,178,,,"lm",true,"rail,series35,stainless,satin","35x35mm Series 35 universal, stainless steel satin",
RAIL-S35-35X35-AL-BLK,balustrade_frameless_rail_35_series_al_black,"35x35mm Series 35 Rail - Anodised Aluminium Black",Frameless Balustrade,Top Mounted Rail 35 Series,152,,,"lm",true,"rail,series35,aluminium,black","35x35mm Series 35 universal, anodised aluminium black",
RAIL-S35-35X35-AL-WHT,balustrade_frameless_rail_35_series_al_white,"35x35mm Series 35 Rail - Anodised Aluminium White",Frameless Balustrade,Top Mounted Rail 35 Series,152,,,"lm",true,"rail,series35,aluminium,white","35x35mm Series 35 universal, anodised aluminium white",

GLASS-12MM-CHANNEL-BAL,balustrade_channel_glass_12mm_970,"12mm Glass Balustrade Panel - Channel System (970mm)",Channel Balustrade,12mm Glass Balustrade Panels 970,420,,,"sqm",true,"glass,channel,balustrade,12mm","12mm glass for channel balustrade, 970mm height",
GLASS-15MM-CHANNEL-BAL,balustrade_channel_glass_15mm_1000,"15mm Glass Balustrade Panel - Channel System (1000mm)",Channel Balustrade,15mm Glass Balustrade 1000,485,,,"sqm",true,"glass,channel,balustrade,15mm","15mm glass for channel balustrade, 1000mm height",
CHANNEL-BAL-EXTRUSION,balustrade_channel_extrusion,"Channel Extrusion - Balustrade",Channel Balustrade,Channel Extrusion,105,,,"lm",true,"channel,balustrade,extrusion","Channel extrusion for balustrade mounting",
CHANNEL-CLAMP-12MM-BAL,balustrade_channel_clamp_12mm,"12mm Channel Clamp - Balustrade",Channel Balustrade,Channel Clamps 12mm,12,,,"ea",true,"channel,clamp,12mm,balustrade","12mm channel clamp for balustrade",
CHANNEL-CLAMP-15MM-BAL,balustrade_channel_clamp_15mm,"15mm Channel Clamp - Balustrade",Channel Balustrade,Channel Clamps 15mm,14,,,"ea",true,"channel,clamp,15mm,balustrade","15mm channel clamp for balustrade",

GLASS-15MM-STANDOFF,balustrade_standoff_glass_15mm,"15mm Toughened Glass Panel - Standoff System (1000mm height)",Standoff Balustrade,15mm Glass Standoff Balustrade Panels,485,,,"sqm",true,"glass,standoff,15mm","15mm toughened glass for standoff balustrades, 1000mm height, widths 400-1200mm",
STANDOFF-50MM-POL,balustrade_standoff_pin_50mm_polished,"50mm Polished Stainless Steel Standoff",Standoff Balustrade,Stanoff Pins,78,,,"ea",true,"standoff,polished,50mm","50mm diameter polished standoff",
STANDOFF-50MM-SAT,balustrade_standoff_pin_50mm_satin,"50mm Satin Stainless Steel Standoff",Standoff Balustrade,Stanoff Pins,72,,,"ea",true,"standoff,satin,50mm","50mm diameter satin standoff",
STANDOFF-50MM-BLK,balustrade_standoff_pin_50mm_black,"50mm Black Stainless Steel Standoff",Standoff Balustrade,Stanoff Pins,82,,,"ea",true,"standoff,black,50mm","50mm diameter black standoff",
STANDOFF-50MM-WHT,balustrade_standoff_pin_50mm_white,"50mm White Stainless Steel Standoff",Standoff Balustrade,Stanoff Pins,82,,,"ea",true,"standoff,white,50mm","50mm diameter white standoff",

BLADE-BAL-PANEL-1000-SB,balustrade_blade_panel_1000_satin_black,"Blade Balustrade Panel 1000mm - Satin Black",Blade Balustrade,Blade Balustrade Panels,355,,,"ea",true,"blade,balustrade,1000mm,satin-black","Blade balustrade panel 1000mm, satin black",
BLADE-BAL-PANEL-1000-PW,balustrade_blade_panel_1000_pearl_white,"Blade Balustrade Panel 1000mm - Pearl White",Blade Balustrade,Blade Balustrade Panels,355,,,"ea",true,"blade,balustrade,1000mm,pearl-white","Blade balustrade panel 1000mm, pearl white",
BLADE-BAL-POST-50X50-SB,balustrade_blade_post_50x50_satin_black,"Blade Balustrade Post 50x50mm - Satin Black",Blade Balustrade,Blade Balustrade Posts,125,,,"ea",true,"blade,balustrade,post,satin-black","Blade balustrade post 50x50mm, satin black",
BLADE-BAL-POST-50X50-PW,balustrade_blade_post_50x50_pearl_white,"Blade Balustrade Post 50x50mm - Pearl White",Blade Balustrade,Blade Balustrade Posts,125,,,"ea",true,"blade,balustrade,post,pearl-white","Blade balustrade post 50x50mm, pearl white",
BLADE-BAL-GATE-1000-SB,balustrade_blade_gate_1000_satin_black,"Blade Balustrade Gate 1000mm - Satin Black",Blade Balustrade,Blade Balustrade Gates,525,,,"ea",true,"blade,balustrade,gate,satin-black","Blade balustrade gate 1000mm, satin black",
BLADE-BAL-GATE-1000-PW,balustrade_blade_gate_1000_pearl_white,"Blade Balustrade Gate 1000mm - Pearl White",Blade Balustrade,Blade Balustrade Gates,525,,,"ea",true,"blade,balustrade,gate,pearl-white","Blade balustrade gate 1000mm, pearl white",
BLADE-BAL-SHROUD-SB,balustrade_blade_shroud_satin_black,"Blade Balustrade Shroud - Satin Black",Blade Balustrade,Blade Balustrade Shrouds,38,,,"ea",true,"blade,balustrade,shroud,satin-black","Blade balustrade shroud, satin black",
BLADE-BAL-SHROUD-PW,balustrade_blade_shroud_pearl_white,"Blade Balustrade Shroud - Pearl White",Blade Balustrade,Blade Balustrade Shrouds,38,,,"ea",true,"blade,balustrade,shroud,pearl-white","Blade balustrade shroud, pearl white",

BARR-BAL-PANEL-1000-SB,balustrade_barr_panel_1000_satin_black,"BARR Balustrade Panel 1000mm - Satin Black (1733mm width)",Barr Balustrade,Barr Balustrade Panels,345,,,"ea",true,"barr,balustrade,1000mm,satin-black","BARR balustrade panel 1000mm height, satin black, 1733mm width",
BARR-BAL-PANEL-1000-PW,balustrade_barr_panel_1000_pearl_white,"BARR Balustrade Panel 1000mm - Pearl White (1733mm width)",Barr Balustrade,Barr Balustrade Panels,345,,,"ea",true,"barr,balustrade,1000mm,pearl-white","BARR balustrade panel 1000mm height, pearl white, 1733mm width",
BARR-BAL-PANEL-1800-SB,balustrade_barr_panel_1800_satin_black,"BARR Balustrade Panel 1800mm - Satin Black (1969mm width)",Barr Balustrade,Barr Balustrade Panels,465,,,"ea",true,"barr,balustrade,1800mm,satin-black","BARR balustrade panel 1800mm height, satin black, 1969mm width",
BARR-BAL-PANEL-1800-PW,balustrade_barr_panel_1800_pearl_white,"BARR Balustrade Panel 1800mm - Pearl White (1969mm width)",Barr Balustrade,Barr Balustrade Panels,465,,,"ea",true,"barr,balustrade,1800mm,pearl-white","BARR balustrade panel 1800mm height, pearl white, 1969mm width",
BARR-BAL-POST-50MM-SB,balustrade_barr_post_50mm_satin_black,"BARR Balustrade Post 50mm - Satin Black",Barr Balustrade,Barr Balustrade Posts,115,,,"ea",true,"barr,balustrade,post,satin-black","BARR balustrade post 50mm, satin black",
BARR-BAL-POST-50MM-PW,balustrade_barr_post_50mm_pearl_white,"BARR Balustrade Post 50mm - Pearl White",Barr Balustrade,Barr Balustrade Posts,115,,,"ea",true,"barr,balustrade,post,pearl-white","BARR balustrade post 50mm, pearl white",
BARR-BAL-GATE-1000-SB,balustrade_barr_gate_1000_satin_black,"BARR Balustrade Gate 1000mm - Satin Black",Barr Balustrade,Barr Balustrade Gates,515,,,"ea",true,"barr,balustrade,gate,satin-black","BARR balustrade gate 1000mm, satin black",
BARR-BAL-GATE-1000-PW,balustrade_barr_gate_1000_pearl_white,"BARR Balustrade Gate 1000mm - Pearl White",Barr Balustrade,Barr Balustrade Gates,515,,,"ea",true,"barr,balustrade,gate,pearl-white","BARR balustrade gate 1000mm, pearl white",
BARR-BAL-SHROUD-SB,balustrade_barr_shroud_satin_black,"BARR Balustrade Shroud - Satin Black",Barr Balustrade,Barr Balustrade Shrouds,32,,,"ea",true,"barr,balustrade,shroud,satin-black","BARR balustrade shroud, satin black",
BARR-BAL-SHROUD-PW,balustrade_barr_shroud_pearl_white,"BARR Balustrade Shroud - Pearl White",Barr Balustrade,Barr Balustrade Shrouds,32,,,"ea",true,"barr,balustrade,shroud,pearl-white","BARR balustrade shroud, pearl white",

PVC-PANEL-3R-WHT,fencing_hamptons_3rail_white,"Hamptons 3 Rail Panel - White (2388mm x 1525mm)",Hampons,Hamptons 3 Rail,265,,,"ea",true,"pvc,hamptons,3rail,white","Hamptons 3 rail panel, white, 2388mm x 1525mm",
PVC-PANEL-3R-ALM,fencing_hamptons_3rail_almond,"Hamptons 3 Rail Panel - Almond (2388mm x 1525mm)",Hampons,Hamptons 3 Rail,275,,,"ea",true,"pvc,hamptons,3rail,almond","Hamptons 3 rail panel, almond, 2388mm x 1525mm",
PVC-PANEL-3R-CLY,fencing_hamptons_3rail_clay,"Hamptons 3 Rail Panel - Clay (2388mm x 1525mm)",Hampons,Hamptons 3 Rail,275,,,"ea",true,"pvc,hamptons,3rail,clay","Hamptons 3 rail panel, clay, 2388mm x 1525mm",
PVC-POST-3R-WHT,fencing_hamptons_3rail_post_white,"Hamptons 3 Rail Post - White",Hampons,Hamptons Accessories,78,,,"ea",true,"pvc,hamptons,3rail,post,white","Hamptons post for 3 rail, white",
PVC-POST-3R-ALM,fencing_hamptons_3rail_post_almond,"Hamptons 3 Rail Post - Almond",Hampons,Hamptons Accessories,82,,,"ea",true,"pvc,hamptons,3rail,post,almond","Hamptons post for 3 rail, almond",
PVC-POST-3R-CLY,fencing_hamptons_3rail_post_clay,"Hamptons 3 Rail Post - Clay",Hampons,Hamptons Accessories,82,,,"ea",true,"pvc,hamptons,3rail,post,clay","Hamptons post for 3 rail, clay",
PVC-PANEL-CB-WHT,fencing_hamptons_combo_white,"Hamptons Combo Panel - White (2388mm x 1800mm)",Hampons,Hamptons Combo,345,,,"ea",true,"pvc,hamptons,combo,white","Hamptons combo panel, white, 2388mm x 1800mm",
PVC-PANEL-CB-ALM,fencing_hamptons_combo_almond,"Hamptons Combo Panel - Almond (2388mm x 1800mm)",Hampons,Hamptons Combo,355,,,"ea",true,"pvc,hamptons,combo,almond","Hamptons combo panel, almond, 2388mm x 1800mm",
PVC-PANEL-CB-CLY,fencing_hamptons_combo_clay,"Hamptons Combo Panel - Clay (2388mm x 1800mm)",Hampons,Hamptons Combo,355,,,"ea",true,"pvc,hamptons,combo,clay","Hamptons combo panel, clay, 2388mm x 1800mm",
PVC-POST-CB-WHT,fencing_hamptons_combo_post_white,"Hamptons Combo Post - White",Hampons,Hamptons Accessories,82,,,"ea",true,"pvc,hamptons,combo,post,white","Hamptons post for combo, white",
PVC-POST-CB-ALM,fencing_hamptons_combo_post_almond,"Hamptons Combo Post - Almond",Hampons,Hamptons Accessories,86,,,"ea",true,"pvc,hamptons,combo,post,almond","Hamptons post for combo, almond",
PVC-POST-CB-CLY,fencing_hamptons_combo_post_clay,"Hamptons Combo Post - Clay",Hampons,Hamptons Accessories,86,,,"ea",true,"pvc,hamptons,combo,post,clay","Hamptons post for combo, clay",
PVC-PANEL-FP-WHT,fencing_hamptons_full_privacy_white,"Hamptons Full Privacy Panel - White (2388mm x 1800mm)",Hampons,Hamptons Full Privacy,325,,,"ea",true,"pvc,hamptons,full-privacy,white","Hamptons full privacy panel, white, 2388mm x 1800mm",
PVC-PANEL-FP-ALM,fencing_hamptons_full_privacy_almond,"Hamptons Full Privacy Panel - Almond (2388mm x 1800mm)",Hampons,Hamptons Full Privacy,335,,,"ea",true,"pvc,hamptons,full-privacy,almond","Hamptons full privacy panel, almond, 2388mm x 1800mm",
PVC-PANEL-FP-CLY,fencing_hamptons_full_privacy_clay,"Hamptons Full Privacy Panel - Clay (2388mm x 1800mm)",Hampons,Hamptons Full Privacy,335,,,"ea",true,"pvc,hamptons,full-privacy,clay","Hamptons full privacy panel, clay, 2388mm x 1800mm",
PVC-POST-FP-WHT,fencing_hamptons_full_privacy_post_white,"Hamptons Full Privacy Post - White",Hampons,Hamptons Accessories,88,,,"ea",true,"pvc,hamptons,full-privacy,post,white","Hamptons post for full privacy, white",
PVC-POST-FP-ALM,fencing_hamptons_full_privacy_post_almond,"Hamptons Full Privacy Post - Almond",Hampons,Hamptons Accessories,92,,,"ea",true,"pvc,hamptons,full-privacy,post,almond","Hamptons post for full privacy, almond",
PVC-POST-FP-CLY,fencing_hamptons_full_privacy_post_clay,"Hamptons Full Privacy Post - Clay",Hampons,Hamptons Accessories,92,,,"ea",true,"pvc,hamptons,full-privacy,post,clay","Hamptons post for full privacy, clay",
PVC-PANEL-SP-WHT,fencing_hamptons_semi_privacy_white,"Hamptons Semi Privacy Panel - White (2388mm x 1000mm)",Hampons,Hamptons Semi Privacy,215,,,"ea",true,"pvc,hamptons,semi-privacy,white","Hamptons semi privacy panel, white, 2388mm x 1000mm",
PVC-PANEL-SP-ALM,fencing_hamptons_semi_privacy_almond,"Hamptons Semi Privacy Panel - Almond (2388mm x 1000mm)",Hampons,Hamptons Semi Privacy,225,,,"ea",true,"pvc,hamptons,semi-privacy,almond","Hamptons semi privacy panel, almond, 2388mm x 1000mm",
PVC-PANEL-SP-CLY,fencing_hamptons_semi_privacy_clay,"Hamptons Semi Privacy Panel - Clay (2388mm x 1000mm)",Hampons,Hamptons Semi Privacy,225,,,"ea",true,"pvc,hamptons,semi-privacy,clay","Hamptons semi privacy panel, clay, 2388mm x 1000mm",
PVC-POST-SP-WHT,fencing_hamptons_semi_privacy_post_white,"Hamptons Semi Privacy Post - White",Hampons,Hamptons Accessories,78,,,"ea",true,"pvc,hamptons,semi-privacy,post,white","Hamptons post for semi privacy, white",
PVC-POST-SP-ALM,fencing_hamptons_semi_privacy_post_almond,"Hamptons Semi Privacy Post - Almond",Hampons,Hamptons Accessories,82,,,"ea",true,"pvc,hamptons,semi-privacy,post,almond","Hamptons post for semi privacy, almond",
PVC-POST-SP-CLY,fencing_hamptons_semi_privacy_post_clay,"Hamptons Semi Privacy Post - Clay",Hampons,Hamptons Accessories,82,,,"ea",true,"pvc,hamptons,semi-privacy,post,clay","Hamptons post for semi privacy, clay",
PVC-PANEL-VP-WHT,fencing_hamptons_vertical_slat_white,"Hamptons Vertical Paling Panel - White (2388mm x 1800mm)",Hampons,Hamptons Vertical Slat Picket,295,,,"ea",true,"pvc,hamptons,vertical-paling,white","Hamptons vertical paling panel, white, 2388mm x 1800mm",
PVC-PANEL-VP-ALM,fencing_hamptons_vertical_slat_almond,"Hamptons Vertical Paling Panel - Almond (2388mm x 1800mm)",Hampons,Hamptons Vertical Slat Picket,305,,,"ea",true,"pvc,hamptons,vertical-paling,almond","Hamptons vertical paling panel, almond, 2388mm x 1800mm",
PVC-PANEL-VP-CLY,fencing_hamptons_vertical_slat_clay,"Hamptons Vertical Paling Panel - Clay (2388mm x 1800mm)",Hampons,Hamptons Vertical Slat Picket,305,,,"ea",true,"pvc,hamptons,vertical-paling,clay","Hamptons vertical paling panel, clay, 2388mm x 1800mm",
PVC-POST-VP-WHT,fencing_hamptons_vertical_slat_post_white,"Hamptons Vertical Paling Post - White",Hampons,Hamptons Accessories,82,,,"ea",true,"pvc,hamptons,vertical-paling,post,white","Hamptons post for vertical paling, white",
PVC-POST-VP-ALM,fencing_hamptons_vertical_slat_post_almond,"Hamptons Vertical Paling Post - Almond",Hampons,Hamptons Accessories,86,,,"ea",true,"pvc,hamptons,vertical-paling,post,almond","Hamptons post for vertical paling, almond",
PVC-POST-VP-CLY,fencing_hamptons_vertical_slat_post_clay,"Hamptons Vertical Paling Post - Clay",Hampons,Hamptons Accessories,86,,,"ea",true,"pvc,hamptons,vertical-paling,post,clay","Hamptons post for vertical paling, clay",
PVC-GATE-1000-WHT,fencing_hamptons_gate_1000_white,"Hamptons Gate 1000mm - White",Hampons,Hamptons Accessories,435,,,"ea",true,"pvc,hamptons,gate,1000mm,white","Hamptons PVC gate 1000mm, white",
PVC-GATE-1000-ALM,fencing_hamptons_gate_1000_almond,"Hamptons Gate 1000mm - Almond",Hampons,Hamptons Accessories,455,,,"ea",true,"pvc,hamptons,gate,1000mm,almond","Hamptons PVC gate 1000mm, almond",
PVC-GATE-1000-CLY,fencing_hamptons_gate_1000_clay,"Hamptons Gate 1000mm - Clay",Hampons,Hamptons Accessories,455,,,"ea",true,"pvc,hamptons,gate,1000mm,clay","Hamptons PVC gate 1000mm, clay",

ZEUS-PANEL-1800-SB,fencing_zeus_panel_1800_satin_black,"Zeus Panel 1800mm - Satin Black",Zeus,Zeus Panels,485,,,"ea",true,"zeus,panel,1800mm,satin-black","Zeus fencing panel 1800mm, satin black",
ZEUS-PANEL-1800-PW,fencing_zeus_panel_1800_pearl_white,"Zeus Panel 1800mm - Pearl White",Zeus,Zeus Panels,485,,,"ea",true,"zeus,panel,1800mm,pearl-white","Zeus fencing panel 1800mm, pearl white",
ZEUS-POST-SB,fencing_zeus_post_satin_black,"Zeus Post - Satin Black",Zeus,Zeus Posts,145,,,"ea",true,"zeus,post,satin-black","Zeus post, satin black",
ZEUS-POST-PW,fencing_zeus_post_pearl_white,"Zeus Post - Pearl White",Zeus,Zeus Posts,145,,,"ea",true,"zeus,post,pearl-white","Zeus post, pearl white",
ZEUS-GATE-1000-SB,fencing_zeus_gate_1000_satin_black,"Zeus Gate 1000mm - Satin Black",Zeus,Zues Gates,625,,,"ea",true,"zeus,gate,1000mm,satin-black","Zeus gate 1000mm, satin black",
ZEUS-GATE-1000-PW,fencing_zeus_gate_1000_pearl_white,"Zeus Gate 1000mm - Pearl White",Zeus,Zues Gates,625,,,"ea",true,"zeus,gate,1000mm,pearl-white","Zeus gate 1000mm, pearl white",
ZEUS-CAP-SB,fencing_zeus_accessory_cap_satin_black,"Zeus Post Cap - Satin Black",Zeus,Zeus Accessories,28,,,"ea",true,"zeus,cap,satin-black","Zeus post cap, satin black",
ZEUS-CAP-PW,fencing_zeus_accessory_cap_pearl_white,"Zeus Post Cap - Pearl White",Zeus,Zeus Accessories,28,,,"ea",true,"zeus,cap,pearl-white","Zeus post cap, pearl white"